"cbsa","geotype","groups","yr","poor20shsig","poor20sh","poor40shsig","poor40sh"
12580,"Metro","Black","00to0509",-1,-0.07425,-1,-0.06722
12580,"Metro","Black","0509to1014",0,0.04242,1,0.03014
12580,"Metro","Hispanic","00to0509",0,0.06743,0,-0.01077
12580,"Metro","Hispanic","0509to1014",0,0.04124,0,0.03573
12580,"Metro","White","00to0509",1,0.03644,-1,-0.01091
12580,"Metro","White","0509to1014",0,0.01423,1,0.00802
12580,"Suburb","All","00to0509",1,0.05212,NA,0
12580,"Suburb","All","0509to1014",0,0.01525,0,0
12580,"Suburb","Black","00to0509",1,0.05583,NA,0
12580,"Suburb","Black","0509to1014",0,0.01184,0,0
12580,"Suburb","Hispanic","00to0509",0,0.00437,NA,0
12580,"Suburb","Hispanic","0509to1014",1,0.10102,0,0
12580,"Suburb","White","00to0509",1,0.05107,NA,0
12580,"Suburb","White","0509to1014",0,0.00448,0,0
12940,"City","All","00to0509",0,-0.01673,1,0.23159
12940,"City","All","0509to1014",0,0.00605,-1,-0.19768
12940,"City","Black","00to0509",0,-0.03492,1,0.29202
12940,"City","Black","0509to1014",0,0.0056,-1,-0.30455
12940,"City","Hispanic","00to0509",0,-0.13096,0,-0.15968
12940,"City","Hispanic","0509to1014",0,-0.05918,0,0.16931
12940,"City","White","00to0509",0,-0.01035,0,0.00695
12940,"City","White","0509to1014",0,0.09017,1,0.15058
12940,"Metro","All","00to0509",-1,-0.06995,1,0.13147
12940,"Metro","All","0509to1014",0,0.03644,-1,-0.11955
12940,"Metro","Black","00to0509",-1,-0.08224,1,0.19973
12940,"Metro","Black","0509to1014",0,0.03341,-1,-0.19277
12940,"Metro","Hispanic","00to0509",0,-0.17603,0,-0.05873
12940,"Metro","Hispanic","0509to1014",0,0.14326,0,0.00914
12940,"Metro","White","00to0509",0,-0.0285,1,0.02157
12940,"Metro","White","0509to1014",1,0.0867,0,0.0033
12940,"Suburb","All","00to0509",-1,-0.10118,1,0.06829
12940,"Suburb","All","0509to1014",1,0.0778,-1,-0.05242
12940,"Suburb","Black","00to0509",-1,-0.13617,1,0.10156
12940,"Suburb","Black","0509to1014",0,0.07888,-1,-0.06949
12940,"Suburb","Hispanic","00to0509",0,-0.11894,0,0.05116
12940,"Suburb","Hispanic","0509to1014",0,0.21846,0,-0.05116
12940,"Suburb","White","00to0509",0,-0.0227,1,0.03044
12940,"Suburb","White","0509to1014",1,0.09104,-1,-0.03044
13820,"City","All","00to0509",0,0.00473,1,0.04616
13820,"City","All","0509to1014",0,0.08174,1,0.1256
13820,"City","Black","00to0509",0,0.00648,1,0.05373
13820,"City","Black","0509to1014",0,0.04764,1,0.15704
