"cbsa","geotype","groups","sh20_00to0509","sh20_00to0509s","sh20_0509to1014","sh20_0509to1014s","sh20_00to1014","sh20_00to1014s","sh40_00to0509","sh40_00to0509s","sh40_0509to1014","sh40_0509to1014s","sh40_00to1014","sh40_00to1014s"
12540,"City","Hispanic",-0.15971,"-1",0.14099,"1",-0.01872,"0",-0.14114,"-1",0.10061,"1",-0.04053,"0"
12540,"City","White",-0.03038,"0",0.05099,"0",0.02062,"0",-0.03316,"-1",0.06421,"1",0.03105,"0"
12540,"Metro","All",-0.01471,"0",0.07339,"1",0.05868,"1",-0.05793,"-1",0.15486,"1",0.09692,"1"
12540,"Metro","Black",0.05858,"0",-0.02114,"0",0.03744,"0",-0.04105,"0",0.01431,"0",-0.02674,"0"
12540,"Metro","Hispanic",-0.07921,"-1",0.06927,"0",-0.00994,"0",-0.09563,"-1",0.16796,"1",0.07233,"1"
12540,"Metro","White",0.03586,"0",0.10166,"1",0.13752,"1",-0.02055,"-1",0.18192,"1",0.16137,"1"
12540,"Suburb","All",0.02297,"0",0.06022,"0",0.08319,"1",-0.0345,"-1",0.18782,"1",0.15331,"1"
12540,"Suburb","Black",0.24022,"0",-0.1016,"0",0.13862,"0",0.12202,"0",-0.05556,"0",0.06645,"0"
12540,"Suburb","Hispanic",-0.04429,"0",0.04213,"0",-0.00216,"0",-0.06951,"-1",0.19416,"1",0.12464,"1"
12540,"Suburb","White",0.06352,"0",0.12697,"1",0.19049,"1",-0.01439,"-1",0.23469,"1",0.2203,"1"
12580,"City","All",-0.02487,"0",0.07212,"1",0.04725,"1",-0.06199,"-1",0.05176,"1",-0.01022,"0"
12580,"City","Black",-0.04049,"0",0.06486,"0",0.02437,"0",-0.06283,"-1",0.04612,"1",-0.01671,"0"
12580,"City","Hispanic",0.27674,"0",-0.09718,"0",0.17957,"1",-0.02097,"0",0.10594,"0",0.08497,"1"
12580,"City","White",0.05166,"0",0.09566,"0",0.14732,"1",-0.03184,"-1",0.03915,"1",0.00731,"0"
12580,"Metro","All",-0.04557,"-1",0.03253,"1",-0.01304,"0",-0.05051,"-1",0.02249,"1",-0.02802,"-1"
12580,"Metro","Black",-0.07425,"-1",0.04242,"0",-0.03183,"-1",-0.06722,"-1",0.03014,"1",-0.03708,"-1"
12580,"Metro","Hispanic",0.06743,"0",0.04124,"0",0.10866,"1",-0.01077,"0",0.03573,"0",0.02496,"1"
12580,"Metro","White",0.03644,"1",0.01423,"0",0.05067,"1",-0.01091,"-1",0.00802,"1",-0.00289,"0"
12580,"Suburb","All",0.05212,"1",0.01525,"0",0.06738,"1",0,"#DIV/0!",0,"0",0,"0"
12580,"Suburb","Black",0.05583,"1",0.01184,"0",0.06767,"1",0,"#DIV/0!",0,"0",0,"0"
12580,"Suburb","Hispanic",0.00437,"0",0.10102,"1",0.1054,"1",0,"#DIV/0!",0,"0",0,"0"
12580,"Suburb","White",0.05107,"1",0.00448,"0",0.05555,"1",0,"#DIV/0!",0,"0",0,"0"
12940,"City","All",-0.01673,"0",0.00605,"0",-0.01068,"0",0.23159,"1",-0.19768,"-1",0.03391,"1"
12940,"City","Black",-0.03492,"0",0.0056,"0",-0.02931,"0",0.29202,"1",-0.30455,"-1",-0.01252,"0"
12940,"City","Hispanic",-0.13096,"0",-0.05918,"0",-0.19014,"0",-0.15968,"0",0.16931,"0",0.00963,"0"
12940,"City","White",-0.01035,"0",0.09017,"0",0.07982,"0",0.00695,"0",0.15058,"1",0.15753,"1"
12940,"Metro","All",-0.06995,"-1",0.03644,"0",-0.03351,"0",0.13147,"1",-0.11955,"-1",0.01192,"1"
12940,"Metro","Black",-0.08224,"-1",0.03341,"0",-0.04883,"0",0.19973,"1",-0.19277,"-1",0.00695,"0"
12940,"Metro","Hispanic",-0.17603,"0",0.14326,"0",-0.03277,"0",-0.05873,"0",0.00914,"0",-0.0496,"-1"
12940,"Metro","White",-0.0285,"0",0.0867,"1",0.0582,"1",0.02157,"1",0.0033,"0",0.02486,"1"
12940,"Suburb","All",-0.10118,"-1",0.0778,"1",-0.02338,"0",0.06829,"1",-0.05242,"-1",0.01587,"1"
12940,"Suburb","Black",-0.13617,"-1",0.07888,"0",-0.0573,"0",0.10156,"1",-0.06949,"-1",0.03206,"1"
12940,"Suburb","Hispanic",-0.11894,"0",0.21846,"0",0.09953,"0",0.05116,"0",-0.05116,"0",0,"0"
12940,"Suburb","White",-0.0227,"0",0.09104,"1",0.06834,"1",0.03044,"1",-0.03044,"-1",0,"0"
