cbsa,metro,geotype,group,year,poor,_20plus_poor,_20plus_poor_share,_40plus_poor,_40plus_poor_share
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Non-Hispanic White,2010-14,43419.00000,7900.00000,0.18195,2398.00000,0.05523
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,All,2000,40769.00000,8346.00000,0.20471,3320.00000,0.08143
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,All,2005-09,46026.00000,9713.00000,0.21103,2844.00000,0.06179
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,All,2010-14,60102.00000,15402.00000,0.25626,7505.00000,0.12487
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Black,2000,2215.00000,912.00000,0.41174,171.00000,0.07720
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Black,2005-09,3321.00000,1170.00000,0.35230,126.00000,0.03794
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Black,2010-14,5179.00000,2617.00000,0.50531,1234.00000,0.23827
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Hispanic,2000,6596.00000,3902.00000,0.59157,1830.00000,0.27744
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Hispanic,2005-09,9166.00000,4137.00000,0.45134,1850.00000,0.20183
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Hispanic,2010-14,14125.00000,8095.00000,0.57310,4582.00000,0.32439
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Non-Hispanic White,2000,30603.00000,3229.00000,0.10551,1223.00000,0.03996
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Non-Hispanic White,2005-09,32044.00000,4115.00000,0.12842,826.00000,0.02578
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Non-Hispanic White,2010-14,38578.00000,4522.00000,0.11722,1821.00000,0.04720
12060,"Atlanta-Sandy Springs-Roswell, GA",City,All,2000,88750.00000,70729.00000,0.79695,32213.00000,0.36296
12060,"Atlanta-Sandy Springs-Roswell, GA",City,All,2005-09,102920.00000,77096.00000,0.74909,34870.00000,0.33881
12060,"Atlanta-Sandy Springs-Roswell, GA",City,All,2010-14,97651.00000,79798.00000,0.81718,39816.00000,0.40774
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Black,2000,74069.00000,64232.00000,0.86719,30367.00000,0.40998
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Black,2005-09,82056.00000,69738.00000,0.84988,31484.00000,0.38369
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Black,2010-14,75806.00000,67853.00000,0.89509,35334.00000,0.46611
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Hispanic,2000,4144.00000,2899.00000,0.69957,753.00000,0.18171
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Hispanic,2005-09,6387.00000,3062.00000,0.47941,1725.00000,0.27008
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Hispanic,2010-14,6753.00000,5023.00000,0.74382,2566.00000,0.37998
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Non-Hispanic White,2000,8483.00000,2552.00000,0.30084,672.00000,0.07922
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Non-Hispanic White,2005-09,12563.00000,3325.00000,0.26467,1201.00000,0.09560
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Non-Hispanic White,2010-14,12103.00000,4886.00000,0.40370,1399.00000,0.11559
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,All,2000,392430.00000,113986.00000,0.29046,39038.00000,0.09948
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,All,2005-09,616692.00000,243182.00000,0.39433,39519.00000,0.06408
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,All,2010-14,834783.00000,450928.00000,0.54017,89724.00000,0.10748
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Black,2000,191349.00000,92072.00000,0.48117,36038.00000,0.18834
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Black,2005-09,291751.00000,146441.00000,0.50194,34036.00000,0.11666
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Black,2010-14,381836.00000,249683.00000,0.65390,63447.00000,0.16616
