cbsa,metro,geotype,group,_20plus_share_00to0509,_20plus_share_00to0509_sig,_20plus_share_0509to1014,_20plus_share_0509to1014_sig,_20plus_share_00to1014,_20plus_share_00to1014_sig,_40plus_share_00to0509,_40plus_share_00to0509_sig,_40plus_share_0509to1014,_40plus_share_0509to1014_sig,_40plus_share_00to1014,_40plus_share_00to1014_sig
31540,"Madison, WI",Suburb,Black,0.12828,No Change,0.26710,Increase,0.39538,Increase,0.00000,#DIV/0!,0.28873,Increase,0.28873,Increase
31540,"Madison, WI",Suburb,Hispanic,0.21678,Increase,0.17509,No Change,0.39186,Increase,0.00000,#DIV/0!,0.19076,Increase,0.19076,Increase
31540,"Madison, WI",Suburb,Non-Hispanic White,0.02589,Increase,0.06231,Increase,0.08820,Increase,0.00000,#DIV/0!,0.00960,Increase,0.00960,Increase
32580,"McAllen-Edinburg-Mission, TX",City,All,0.04899,No Change,-0.03603,No Change,0.01296,No Change,0.05963,No Change,-0.06437,No Change,-0.00474,No Change
32580,"McAllen-Edinburg-Mission, TX",City,Black,-0.40406,No Change,0.19074,No Change,-0.21331,No Change,-0.48889,No Change,0.14317,No Change,-0.34572,Decrease
32580,"McAllen-Edinburg-Mission, TX",City,Hispanic,0.04856,No Change,-0.04278,No Change,0.00579,No Change,0.05203,No Change,-0.06188,No Change,-0.00985,No Change
32580,"McAllen-Edinburg-Mission, TX",City,Non-Hispanic White,0.16499,No Change,-0.18787,No Change,-0.02288,No Change,0.16478,No Change,-0.20647,Decrease,-0.04168,No Change
32580,"McAllen-Edinburg-Mission, TX",Metro,All,-0.00767,No Change,-0.00796,No Change,-0.01563,No Change,-0.07397,Decrease,-0.00958,No Change,-0.08355,Decrease
32580,"McAllen-Edinburg-Mission, TX",Metro,Black,-0.14254,No Change,0.00324,No Change,-0.13931,No Change,-0.16698,No Change,0.07573,No Change,-0.09126,No Change
32580,"McAllen-Edinburg-Mission, TX",Metro,Hispanic,-0.00837,No Change,-0.00652,No Change,-0.01489,No Change,-0.07659,Decrease,-0.00985,No Change,-0.08644,Decrease
32580,"McAllen-Edinburg-Mission, TX",Metro,Non-Hispanic White,0.04042,No Change,-0.05053,No Change,-0.01012,No Change,0.00291,No Change,-0.03076,No Change,-0.02785,No Change
32580,"McAllen-Edinburg-Mission, TX",Suburb,All,-0.01352,No Change,-0.00542,No Change,-0.01893,No Change,-0.09012,Decrease,-0.00353,No Change,-0.09365,Decrease
32580,"McAllen-Edinburg-Mission, TX",Suburb,Black,0.00000,No Change,-0.00158,No Change,-0.00158,No Change,-0.02488,No Change,0.11038,No Change,0.08550,No Change
32580,"McAllen-Edinburg-Mission, TX",Suburb,Hispanic,-0.01455,No Change,-0.00192,No Change,-0.01648,No Change,-0.09187,Decrease,-0.00324,No Change,-0.09511,Decrease
32580,"McAllen-Edinburg-Mission, TX",Suburb,Non-Hispanic White,0.03203,No Change,-0.08781,No Change,-0.05578,No Change,-0.03590,No Change,-0.02133,No Change,-0.05723,No Change
32820,"Memphis, TN-MS-AR",City,All,0.11092,Increase,0.04649,No Change,0.15741,Increase,0.10456,Increase,0.06725,Increase,0.17180,Increase
32820,"Memphis, TN-MS-AR",City,Black,0.08093,Increase,0.03026,No Change,0.11119,Increase,0.11797,Increase,0.05085,Increase,0.16882,Increase
32820,"Memphis, TN-MS-AR",City,Hispanic,0.35814,Increase,0.11213,No Change,0.47027,Increase,0.06838,No Change,0.24146,Increase,0.30983,Increase
32820,"Memphis, TN-MS-AR",City,Non-Hispanic White,0.19984,Increase,0.07053,No Change,0.27037,Increase,0.05276,Increase,0.11499,Increase,0.16774,Increase
32820,"Memphis, TN-MS-AR",Metro,All,0.11407,Increase,0.00934,No Change,0.12341,Increase,0.08571,Increase,0.03681,Increase,0.12252,Increase
32820,"Memphis, TN-MS-AR",Metro,Black,0.08036,Increase,0.01274,No Change,0.09311,Increase,0.10689,Increase,0.03251,No Change,0.13939,Increase
32820,"Memphis, TN-MS-AR",Metro,Hispanic,0.28605,Increase,0.11146,No Change,0.39751,Increase,0.07171,No Change,0.15616,Increase,0.22787,Increase
32820,"Memphis, TN-MS-AR",Metro,Non-Hispanic White,0.20000,Increase,-0.04115,No Change,0.15885,Increase,0.03227,Increase,0.03552,Increase,0.06779,Increase
32820,"Memphis, TN-MS-AR",Suburb,All,0.14724,Increase,-0.07617,Decrease,0.07108,Increase,0.05687,Increase,-0.03173,Decrease,0.02514,Increase
32820,"Memphis, TN-MS-AR",Suburb,Black,0.10368,Increase,-0.05805,No Change,0.04563,No Change,0.08515,Increase,-0.03514,No Change,0.05001,Increase
32820,"Memphis, TN-MS-AR",Suburb,Hispanic,0.03036,No Change,0.19524,No Change,0.22560,Increase,0.08288,No Change,-0.08415,No Change,-0.00127,No Change
32820,"Memphis, TN-MS-AR",Suburb,Non-Hispanic White,0.21291,Increase,-0.10294,Decrease,0.10997,Increase,0.02080,Increase,-0.01053,No Change,0.01027,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",City,All,-0.03224,No Change,0.07310,Increase,0.04085,Increase,-0.05823,Decrease,0.10902,Increase,0.05079,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",City,Black,-0.00100,No Change,0.03443,No Change,0.03343,No Change,-0.10023,Decrease,0.15955,Increase,0.05932,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",City,Hispanic,-0.03668,No Change,0.09130,Increase,0.05462,Increase,-0.04005,Decrease,0.12128,Increase,0.08123,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",City,Non-Hispanic White,-0.02230,No Change,0.10040,No Change,0.07810,Increase,0.01269,No Change,0.06505,Increase,0.07774,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,All,-0.02467,Decrease,0.12757,Increase,0.10290,Increase,-0.04034,Decrease,0.06332,Increase,0.02297,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,Black,-0.05950,Decrease,0.09134,Increase,0.03184,Increase,-0.07889,Decrease,0.07780,Increase,-0.00108,No Change
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,Hispanic,-0.00877,No Change,0.14927,Increase,0.14051,Increase,-0.02509,Decrease,0.07537,Increase,0.05028,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,Non-Hispanic White,0.02805,Increase,0.10596,Increase,0.13401,Increase,-0.00102,No Change,0.02391,Increase,0.02289,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Suburb,All,-0.02319,Decrease,0.14887,Increase,0.12568,Increase,-0.03645,Decrease,0.06184,Increase,0.02539,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Suburb,Black,-0.07951,Decrease,0.12062,Increase,0.04111,Increase,-0.08032,Decrease,0.08453,Increase,0.00421,No Change
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Suburb,Hispanic,0.00270,No Change,0.17581,Increase,0.17852,Increase,-0.01953,Decrease,0.06900,Increase,0.04947,Increase
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Suburb,Non-Hispanic White,0.03164,Increase,0.10823,Increase,0.13987,Increase,-0.00297,Decrease,0.02093,Increase,0.01796,Increase
33340,"Milwaukee-Waukesha-West Allis, WI",City,All,0.04943,Increase,0.07362,Increase,0.12305,Increase,0.05998,Increase,0.10309,Increase,0.16307,Increase
33340,"Milwaukee-Waukesha-West Allis, WI",City,Black,0.04823,No Change,0.06490,No Change,0.11313,Increase,0.02993,No Change,0.04830,No Change,0.07823,Increase
33340,"Milwaukee-Waukesha-West Allis, WI",City,Hispanic,0.00256,No Change,0.01753,No Change,0.02009,No Change,0.21484,Increase,0.24841,Increase,0.46326,Increase
33340,"Milwaukee-Waukesha-West Allis, WI",City,Non-Hispanic White,0.10399,Increase,0.13549,Increase,0.23948,Increase,0.04019,Increase,0.10679,Increase,0.14698,Increase
33340,"Milwaukee-Waukesha-West Allis, WI",Metro,All,0.00274,No Change,0.06600,Increase,0.06874,Increase,0.02998,Increase,0.06700,Increase,0.09698,Increase
33340,"Milwaukee-Waukesha-West Allis, WI",Metro,Black,0.03044,No Change,0.06224,No Change,0.09268,Increase,0.02147,No Change,0.04092,No Change,0.06239,Increase
33340,"Milwaukee-Waukesha-West Allis, WI",Metro,Hispanic,-0.02273,No Change,0.01095,No Change,-0.01178,No Change,0.17706,Increase,0.19056,Increase,0.36761,Increase
33340,"Milwaukee-Waukesha-West Allis, WI",Metro,Non-Hispanic White,0.03501,Increase,0.07935,Increase,0.11436,Increase,0.01631,Increase,0.03369,Increase,0.05000,Increase
33340,"Milwaukee-Waukesha-West Allis, WI",Suburb,All,0.03322,Increase,0.08992,Increase,0.12314,Increase,0.00502,Increase,-0.00502,Decrease,0.00000,#DIV/0!
33340,"Milwaukee-Waukesha-West Allis, WI",Suburb,Black,0.01782,No Change,0.17781,Increase,0.19563,Increase,0.02305,No Change,-0.02305,No Change,0.00000,#DIV/0!
33340,"Milwaukee-Waukesha-West Allis, WI",Suburb,Hispanic,0.12812,Increase,0.09015,No Change,0.21828,Increase,0.00514,No Change,-0.00514,No Change,0.00000,#DIV/0!
33340,"Milwaukee-Waukesha-West Allis, WI",Suburb,Non-Hispanic White,0.01928,Increase,0.07429,Increase,0.09356,Increase,0.00396,No Change,-0.00396,No Change,0.00000,#DIV/0!
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",City,All,0.16472,Increase,0.01602,No Change,0.18074,Increase,0.08411,Increase,0.06978,Increase,0.15389,Increase
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",City,Black,0.15316,Increase,-0.03196,No Change,0.12120,Increase,0.10312,Increase,0.09337,Increase,0.19649,Increase
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",City,Hispanic,0.30228,Increase,-0.04464,No Change,0.25764,Increase,0.11881,Increase,0.06034,No Change,0.17915,Increase
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",City,Non-Hispanic White,0.16268,Increase,0.06998,Increase,0.23266,Increase,0.03265,Increase,0.07438,Increase,0.10703,Increase
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,All,0.06114,Increase,0.02463,Increase,0.08577,Increase,0.02882,Increase,0.02106,Increase,0.04987,Increase
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,Black,0.03958,No Change,-0.00760,No Change,0.03197,No Change,0.04552,Increase,0.04175,Increase,0.08727,Increase
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,Hispanic,0.15189,Increase,-0.02855,No Change,0.12334,Increase,0.05965,Increase,0.00079,No Change,0.06044,Increase
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,Non-Hispanic White,0.05790,Increase,0.03353,Increase,0.09143,Increase,0.00729,Increase,0.01696,Increase,0.02425,Increase
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Suburb,All,0.05049,Increase,0.07243,Increase,0.12292,Increase,-0.00002,#DIV/0!,0.00000,No Change,-0.00002,No Change
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Suburb,Black,0.09683,Increase,0.12399,Increase,0.22082,Increase,-0.00012,#DIV/0!,0.00000,No Change,-0.00012,No Change
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Suburb,Hispanic,0.06366,Increase,0.15613,Increase,0.21979,Increase,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Suburb,Non-Hispanic White,0.03261,Increase,0.03552,Increase,0.06813,Increase,-0.00003,#DIV/0!,0.00000,No Change,-0.00003,No Change
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",City,All,0.15402,Increase,0.06987,Increase,0.22389,Increase,0.01776,Increase,0.05392,Increase,0.07168,Increase
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",City,Black,0.05449,No Change,0.06624,No Change,0.12074,Increase,0.02370,No Change,0.07563,Increase,0.09934,Increase
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",City,Hispanic,0.53276,Increase,0.04667,No Change,0.57944,Increase,0.01170,No Change,0.08247,Increase,0.09417,Increase
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",City,Non-Hispanic White,0.14084,Increase,0.06664,No Change,0.20748,Increase,0.02337,Increase,0.03676,Increase,0.06014,Increase
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,All,0.14088,Increase,0.08697,Increase,0.22785,Increase,0.00912,Increase,0.02877,Increase,0.03788,Increase
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,Black,0.05434,No Change,0.09364,Increase,0.14798,Increase,0.02024,No Change,0.06202,Increase,0.08226,Increase
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,Hispanic,0.40004,Increase,0.09269,No Change,0.49273,Increase,0.00533,No Change,0.05333,Increase,0.05865,Increase
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metro,Non-Hispanic White,0.13825,Increase,0.07666,Increase,0.21491,Increase,0.00988,Increase,0.01321,Increase,0.02309,Increase
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Suburb,All,0.12934,Increase,0.11197,Increase,0.24131,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Suburb,Black,0.04216,No Change,0.18510,Increase,0.22726,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Suburb,Hispanic,0.19474,Increase,0.14709,No Change,0.34183,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Suburb,Non-Hispanic White,0.13230,Increase,0.09424,Increase,0.22654,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
35300,"New Haven-Milford, CT",City,All,-0.00455,No Change,0.07850,No Change,0.07394,No Change,0.07629,Increase,0.03401,No Change,0.11030,Increase
35300,"New Haven-Milford, CT",City,Black,-0.01063,No Change,0.16097,No Change,0.15033,No Change,0.03714,No Change,0.09435,No Change,0.13149,Increase
35300,"New Haven-Milford, CT",City,Hispanic,0.02073,No Change,-0.01526,No Change,0.00548,No Change,0.17704,Increase,-0.09226,No Change,0.08478,Increase
35300,"New Haven-Milford, CT",City,Non-Hispanic White,-0.01156,No Change,-0.00080,No Change,-0.01237,No Change,-0.00327,No Change,0.04331,No Change,0.04005,No Change
35300,"New Haven-Milford, CT",Metro,All,0.02798,No Change,0.03328,No Change,0.06126,Increase,0.11358,Increase,-0.00450,No Change,0.10908,Increase
35300,"New Haven-Milford, CT",Metro,Black,0.00047,No Change,0.07224,No Change,0.07272,No Change,0.10821,Increase,0.03722,No Change,0.14542,Increase
35300,"New Haven-Milford, CT",Metro,Hispanic,-0.01334,No Change,0.00616,No Change,-0.00718,No Change,0.20596,Increase,-0.04718,No Change,0.15878,Increase
35300,"New Haven-Milford, CT",Metro,Non-Hispanic White,0.02903,No Change,0.03112,No Change,0.06014,Increase,0.02359,Increase,-0.00189,No Change,0.02170,Increase
35300,"New Haven-Milford, CT",Suburb,All,0.07329,Increase,0.02618,No Change,0.09947,Increase,0.13801,Increase,-0.01910,No Change,0.11891,Increase
35300,"New Haven-Milford, CT",Suburb,Black,0.08388,No Change,0.00066,No Change,0.08454,No Change,0.20379,Increase,-0.02246,No Change,0.18132,Increase
35300,"New Haven-Milford, CT",Suburb,Hispanic,0.01035,No Change,0.01528,No Change,0.02563,No Change,0.23783,Increase,-0.02574,No Change,0.21210,Increase
35300,"New Haven-Milford, CT",Suburb,Non-Hispanic White,0.02980,Increase,0.05827,Increase,0.08807,Increase,0.02815,Increase,-0.00667,No Change,0.02148,Increase
35380,"New Orleans-Metairie, LA",City,All,-0.10786,Decrease,0.10109,Increase,-0.00678,No Change,-0.12323,Decrease,0.06339,Increase,-0.05984,Decrease
35380,"New Orleans-Metairie, LA",City,Black,-0.10828,Decrease,0.13455,Increase,0.02626,No Change,-0.13289,Decrease,0.07649,Increase,-0.05640,Decrease
35380,"New Orleans-Metairie, LA",City,Hispanic,0.02964,No Change,-0.06822,No Change,-0.03858,No Change,-0.05755,No Change,0.15031,No Change,0.09276,Increase
35380,"New Orleans-Metairie, LA",City,Non-Hispanic White,-0.11179,No Change,0.04230,No Change,-0.06949,Decrease,-0.00898,No Change,0.01871,No Change,0.00974,No Change
35380,"New Orleans-Metairie, LA",Metro,All,-0.13194,Decrease,0.12902,Increase,-0.00291,No Change,-0.09570,Decrease,0.04486,Increase,-0.05084,Decrease
35380,"New Orleans-Metairie, LA",Metro,Black,-0.15023,Decrease,0.15235,Increase,0.00212,No Change,-0.11783,Decrease,0.05749,Increase,-0.06035,Decrease
35380,"New Orleans-Metairie, LA",Metro,Hispanic,0.08234,No Change,0.09929,No Change,0.18164,Increase,-0.01038,No Change,0.05077,No Change,0.04039,Increase
35380,"New Orleans-Metairie, LA",Metro,Non-Hispanic White,-0.02686,No Change,0.09133,Increase,0.06447,Increase,-0.00878,No Change,0.02050,Increase,0.01172,Increase
35380,"New Orleans-Metairie, LA",Suburb,All,-0.04731,Decrease,0.12666,Increase,0.07935,Increase,0.00343,No Change,0.01627,Increase,0.01970,Increase
35380,"New Orleans-Metairie, LA",Suburb,Black,-0.12723,Decrease,0.15163,Increase,0.02440,No Change,0.01252,No Change,0.00881,No Change,0.02133,Increase
35380,"New Orleans-Metairie, LA",Suburb,Hispanic,0.14710,Increase,0.19167,Increase,0.33878,Increase,0.02189,No Change,0.02786,No Change,0.04975,Increase
35380,"New Orleans-Metairie, LA",Suburb,Non-Hispanic White,0.01192,No Change,0.08784,Increase,0.09976,Increase,-0.00401,Decrease,0.01598,Increase,0.01197,Increase
35620,"New York-Newark-Jersey City, NY-NJ-PA",City,All,-0.05266,Decrease,0.04007,Increase,-0.01259,Decrease,-0.05167,Decrease,0.02819,Increase,-0.02348,Decrease
35620,"New York-Newark-Jersey City, NY-NJ-PA",City,Black,-0.07578,Decrease,0.04474,Increase,-0.03105,Decrease,-0.06390,Decrease,0.02766,Increase,-0.03625,Decrease
35620,"New York-Newark-Jersey City, NY-NJ-PA",City,Hispanic,-0.04152,Decrease,0.03698,Increase,-0.00454,No Change,-0.09003,Decrease,0.03497,Increase,-0.05506,Decrease
35620,"New York-Newark-Jersey City, NY-NJ-PA",City,Non-Hispanic White,-0.00605,No Change,0.04185,Increase,0.03581,Increase,0.02516,Increase,0.05030,Increase,0.07546,Increase
35620,"New York-Newark-Jersey City, NY-NJ-PA",Metro,All,-0.04037,Decrease,0.04121,Increase,0.00084,No Change,-0.03060,Decrease,0.01652,Increase,-0.01407,Decrease
35620,"New York-Newark-Jersey City, NY-NJ-PA",Metro,Black,-0.06931,Decrease,0.04579,Increase,-0.02352,Decrease,-0.04990,Decrease,0.01925,Increase,-0.03065,Decrease
35620,"New York-Newark-Jersey City, NY-NJ-PA",Metro,Hispanic,-0.05339,Decrease,0.04059,Increase,-0.01280,No Change,-0.06716,Decrease,0.01839,Increase,-0.04877,Decrease
35620,"New York-Newark-Jersey City, NY-NJ-PA",Metro,Non-Hispanic White,0.02651,Increase,0.03221,Increase,0.05871,Increase,0.02800,Increase,0.02604,Increase,0.05404,Increase
35620,"New York-Newark-Jersey City, NY-NJ-PA",Suburb,All,0.03409,Increase,0.07146,Increase,0.10556,Increase,0.03560,Increase,0.00315,No Change,0.03874,Increase
35620,"New York-Newark-Jersey City, NY-NJ-PA",Suburb,Black,0.02028,No Change,0.05869,Increase,0.07897,Increase,0.04354,Increase,-0.00173,No Change,0.04181,Increase
35620,"New York-Newark-Jersey City, NY-NJ-PA",Suburb,Hispanic,-0.01218,No Change,0.12306,Increase,0.11088,Increase,0.04489,Increase,0.01177,Increase,0.05666,Increase
35620,"New York-Newark-Jersey City, NY-NJ-PA",Suburb,Non-Hispanic White,0.05923,Increase,0.03349,Increase,0.09273,Increase,0.03090,Increase,0.00566,No Change,0.03656,Increase
35840,"North Port-Sarasota-Bradenton, FL",City,All,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
35840,"North Port-Sarasota-Bradenton, FL",City,Black,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
35840,"North Port-Sarasota-Bradenton, FL",City,Hispanic,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
35840,"North Port-Sarasota-Bradenton, FL",City,Non-Hispanic White,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
35840,"North Port-Sarasota-Bradenton, FL",Metro,All,-0.08498,Decrease,0.16681,Increase,0.08183,Increase,0.02732,Increase,0.09219,Increase,0.11951,Increase
35840,"North Port-Sarasota-Bradenton, FL",Metro,Black,-0.15895,Decrease,0.11718,No Change,-0.04178,No Change,0.08149,Increase,0.11491,Increase,0.19640,Increase
35840,"North Port-Sarasota-Bradenton, FL",Metro,Hispanic,-0.18758,Decrease,0.25121,Increase,0.06363,No Change,0.03947,Increase,0.22466,Increase,0.26414,Increase
35840,"North Port-Sarasota-Bradenton, FL",Metro,Non-Hispanic White,-0.03596,Decrease,0.12130,Increase,0.08534,Increase,0.01106,Increase,0.02160,Increase,0.03266,Increase
35840,"North Port-Sarasota-Bradenton, FL",Suburb,All,-0.08236,Decrease,0.18337,Increase,0.10102,Increase,0.02911,Increase,0.09993,Increase,0.12904,Increase
35840,"North Port-Sarasota-Bradenton, FL",Suburb,Black,-0.13247,No Change,0.17174,No Change,0.03927,No Change,0.08634,Increase,0.13568,Increase,0.22202,Increase
35840,"North Port-Sarasota-Bradenton, FL",Suburb,Hispanic,-0.17238,Decrease,0.24770,Increase,0.07532,No Change,0.04125,Increase,0.22894,Increase,0.27018,Increase
35840,"North Port-Sarasota-Bradenton, FL",Suburb,Non-Hispanic White,-0.03650,Decrease,0.13352,Increase,0.09702,Increase,0.01196,Increase,0.02374,Increase,0.03570,Increase
36260,"Ogden-Clearfield, UT",City,All,0.04046,No Change,0.22802,Increase,0.26848,Increase,0.12927,Increase,-0.11182,Decrease,0.01746,No Change
36260,"Ogden-Clearfield, UT",City,Black,0.23917,No Change,-0.17221,No Change,0.06696,No Change,-0.16635,No Change,0.15104,No Change,-0.01531,No Change
36260,"Ogden-Clearfield, UT",City,Hispanic,0.00249,No Change,0.19057,No Change,0.19306,No Change,0.12842,Increase,-0.14464,Decrease,-0.01622,No Change
36260,"Ogden-Clearfield, UT",City,Non-Hispanic White,0.00619,No Change,0.30704,Increase,0.31323,Increase,0.12023,Increase,-0.08826,Decrease,0.03196,No Change
36260,"Ogden-Clearfield, UT",Metro,All,0.00531,No Change,0.10919,Increase,0.11450,Increase,0.04933,Increase,-0.04093,Decrease,0.00840,No Change
36260,"Ogden-Clearfield, UT",Metro,Black,0.22657,No Change,-0.23884,No Change,-0.01227,No Change,-0.07772,No Change,0.04629,No Change,-0.03144,No Change
36260,"Ogden-Clearfield, UT",Metro,Hispanic,-0.06169,No Change,0.13109,No Change,0.06940,No Change,0.06336,Increase,-0.06890,Decrease,-0.00553,No Change
36260,"Ogden-Clearfield, UT",Metro,Non-Hispanic White,-0.00233,No Change,0.11221,Increase,0.10988,Increase,0.03474,Increase,-0.02707,Decrease,0.00767,No Change
36260,"Ogden-Clearfield, UT",Suburb,All,-0.02198,#DIV/0!,0.10424,Increase,0.08226,Increase,0.00000,#DIV/0!,0.01434,Increase,0.01434,Increase
36260,"Ogden-Clearfield, UT",Suburb,Black,-0.05645,#DIV/0!,0.12461,No Change,0.06816,No Change,0.00000,#DIV/0!,0.03583,No Change,0.03583,No Change
36260,"Ogden-Clearfield, UT",Suburb,Hispanic,-0.09304,#DIV/0!,0.16913,Increase,0.07609,Increase,0.00000,#DIV/0!,0.03917,Increase,0.03917,Increase
36260,"Ogden-Clearfield, UT",Suburb,Non-Hispanic White,-0.00662,#DIV/0!,0.07750,Increase,0.07088,Increase,0.00000,#DIV/0!,0.00601,Increase,0.00601,Increase
36420,"Oklahoma City, OK",City,All,0.08986,Increase,-0.02837,No Change,0.06150,Increase,0.00939,No Change,0.10262,Increase,0.11201,Increase
36420,"Oklahoma City, OK",City,Black,0.07562,No Change,-0.07158,No Change,0.00404,No Change,0.14842,Increase,0.00857,No Change,0.15699,Increase
36420,"Oklahoma City, OK",City,Hispanic,0.03532,No Change,-0.00389,No Change,0.03143,No Change,-0.10414,Decrease,0.16811,Increase,0.06397,Increase
36420,"Oklahoma City, OK",City,Non-Hispanic White,0.09083,Increase,-0.05863,No Change,0.03220,No Change,-0.02331,Decrease,0.09535,Increase,0.07203,Increase
36420,"Oklahoma City, OK",Metro,All,0.06710,Increase,0.03188,No Change,0.09897,Increase,-0.01141,Decrease,0.05766,Increase,0.04625,Increase
36420,"Oklahoma City, OK",Metro,Black,0.08602,Increase,-0.02154,No Change,0.06448,No Change,0.09012,Increase,0.00406,No Change,0.09418,Increase
36420,"Oklahoma City, OK",Metro,Hispanic,0.04554,No Change,-0.01111,No Change,0.03443,No Change,-0.09205,Decrease,0.12997,Increase,0.03792,Increase
36420,"Oklahoma City, OK",Metro,Non-Hispanic White,0.05608,Increase,0.03638,No Change,0.09247,Increase,-0.02905,Decrease,0.04109,Increase,0.01204,Increase
36420,"Oklahoma City, OK",Suburb,All,0.04371,Increase,0.11547,Increase,0.15918,Increase,-0.03597,#DIV/0!,0.00979,Increase,-0.02618,Decrease
36420,"Oklahoma City, OK",Suburb,Black,0.13849,Increase,0.09262,No Change,0.23111,Increase,-0.03134,#DIV/0!,0.00350,No Change,-0.02784,Decrease
36420,"Oklahoma City, OK",Suburb,Hispanic,0.07572,No Change,0.04925,No Change,0.12498,Increase,-0.04519,#DIV/0!,0.01615,Increase,-0.02905,Decrease
36420,"Oklahoma City, OK",Suburb,Non-Hispanic White,0.04356,Increase,0.11135,Increase,0.15491,Increase,-0.03072,#DIV/0!,0.01077,Increase,-0.01996,Decrease
36540,"Omaha-Council Bluffs, NE-IA",City,All,0.12190,Increase,0.06841,Increase,0.19031,Increase,0.07317,Increase,0.03464,Increase,0.10782,Increase
36540,"Omaha-Council Bluffs, NE-IA",City,Black,0.00399,No Change,0.04144,No Change,0.04542,No Change,0.15824,Increase,-0.02431,No Change,0.13393,Increase
36540,"Omaha-Council Bluffs, NE-IA",City,Hispanic,0.28135,Increase,0.11528,No Change,0.39663,Increase,0.03310,Increase,0.15226,Increase,0.18536,Increase
36540,"Omaha-Council Bluffs, NE-IA",City,Non-Hispanic White,0.18444,Increase,0.01394,No Change,0.19838,Increase,0.02792,Increase,0.03673,Increase,0.06465,Increase
36540,"Omaha-Council Bluffs, NE-IA",Metro,All,0.11653,Increase,0.03711,No Change,0.15364,Increase,0.05694,Increase,0.01546,No Change,0.07240,Increase
36540,"Omaha-Council Bluffs, NE-IA",Metro,Black,-0.00234,No Change,-0.01677,No Change,-0.01911,No Change,0.14626,Increase,-0.03568,No Change,0.11058,Increase
36540,"Omaha-Council Bluffs, NE-IA",Metro,Hispanic,0.21396,Increase,0.13848,No Change,0.35244,Increase,0.02586,Increase,0.13443,Increase,0.16028,Increase
36540,"Omaha-Council Bluffs, NE-IA",Metro,Non-Hispanic White,0.16015,Increase,-0.01024,No Change,0.14990,Increase,0.02795,Increase,0.00666,No Change,0.03461,Increase
