cbsa,metro,geotype,group,_20plus_share_00to0509,_20plus_share_00to0509_sig,_20plus_share_0509to1014,_20plus_share_0509to1014_sig,_20plus_share_00to1014,_20plus_share_00to1014_sig,_40plus_share_00to0509,_40plus_share_00to0509_sig,_40plus_share_0509to1014,_40plus_share_0509to1014_sig,_40plus_share_00to1014,_40plus_share_00to1014_sig
12540,"Bakersfield, CA",City,Non-Hispanic White,-0.03038,No Change,0.05099,No Change,0.02062,No Change,-0.03316,Decrease,0.06421,Increase,0.03105,No Change
12540,"Bakersfield, CA",Metro,All,-0.01471,No Change,0.07339,Increase,0.05868,Increase,-0.05793,Decrease,0.15486,Increase,0.09692,Increase
12540,"Bakersfield, CA",Metro,Black,0.05858,No Change,-0.02114,No Change,0.03744,No Change,-0.04105,No Change,0.01431,No Change,-0.02674,No Change
12540,"Bakersfield, CA",Metro,Hispanic,-0.07921,Decrease,0.06927,No Change,-0.00994,No Change,-0.09563,Decrease,0.16796,Increase,0.07233,Increase
12540,"Bakersfield, CA",Metro,Non-Hispanic White,0.03586,No Change,0.10166,Increase,0.13752,Increase,-0.02055,Decrease,0.18192,Increase,0.16137,Increase
12540,"Bakersfield, CA",Suburb,All,0.02297,No Change,0.06022,No Change,0.08319,Increase,-0.03450,Decrease,0.18782,Increase,0.15331,Increase
12540,"Bakersfield, CA",Suburb,Black,0.24022,No Change,-0.10160,No Change,0.13862,No Change,0.12202,No Change,-0.05556,No Change,0.06645,No Change
12540,"Bakersfield, CA",Suburb,Hispanic,-0.04429,No Change,0.04213,No Change,-0.00216,No Change,-0.06951,Decrease,0.19416,Increase,0.12464,Increase
12540,"Bakersfield, CA",Suburb,Non-Hispanic White,0.06352,No Change,0.12697,Increase,0.19049,Increase,-0.01439,Decrease,0.23469,Increase,0.22030,Increase
12580,"Baltimore-Columbia-Towson, MD",City,All,-0.02487,No Change,0.07212,Increase,0.04725,Increase,-0.06199,Decrease,0.05176,Increase,-0.01022,No Change
12580,"Baltimore-Columbia-Towson, MD",City,Black,-0.04049,No Change,0.06486,No Change,0.02437,No Change,-0.06283,Decrease,0.04612,Increase,-0.01671,No Change
12580,"Baltimore-Columbia-Towson, MD",City,Hispanic,0.27674,No Change,-0.09718,No Change,0.17957,Increase,-0.02097,No Change,0.10594,No Change,0.08497,Increase
12580,"Baltimore-Columbia-Towson, MD",City,Non-Hispanic White,0.05166,No Change,0.09566,No Change,0.14732,Increase,-0.03184,Decrease,0.03915,Increase,0.00731,No Change
12580,"Baltimore-Columbia-Towson, MD",Metro,All,-0.04557,Decrease,0.03253,Increase,-0.01304,No Change,-0.05051,Decrease,0.02249,Increase,-0.02802,Decrease
12580,"Baltimore-Columbia-Towson, MD",Metro,Black,-0.07425,Decrease,0.04242,No Change,-0.03183,Decrease,-0.06722,Decrease,0.03014,Increase,-0.03708,Decrease
12580,"Baltimore-Columbia-Towson, MD",Metro,Hispanic,0.06743,No Change,0.04124,No Change,0.10866,Increase,-0.01077,No Change,0.03573,No Change,0.02496,Increase
12580,"Baltimore-Columbia-Towson, MD",Metro,Non-Hispanic White,0.03644,Increase,0.01423,No Change,0.05067,Increase,-0.01091,Decrease,0.00802,Increase,-0.00289,No Change
12580,"Baltimore-Columbia-Towson, MD",Suburb,All,0.05212,Increase,0.01525,No Change,0.06738,Increase,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
